name,year,parameters,title,paper_with_code,paper_link,flops,multiadds,fp_bp_ratio,training_epochs,training_set_size,training_dataset,training_time_total,training_time_total_sec,training_time_tpu_core_days,training_gpu_model,training_gpu_amount,training_gpu_ptp_gflops,training_tpu_model,training_tpu_amount,training_tpu_ptp_gflops,training_cpu_model,training_cpu_amount,training_cpu_ptp_gflops,pretraining_epochs,pretraining_set_size,pretraining_dataset,pretraining_time_total,pretraining_time_total_sec,pretraining_time_tpu_core_days,pretraining_gpu_model,pretraining_gpu_amount,pretraining_gpu_ptp_gflops,pretraining_tpu_model,pretraining_tpu_amount,pretraining_tpu_ptp_gflops,pretraining_cpu_model,pretraining_cpu_amount,pretraining_cpu_ptp_gflops,finetuning_epochs,finetuning_set_size,finetuning_dataset,finetuning_time_total,finetuning_time_total_sec,finetuning_time_tpu_core_days,finetuning_gpu_model,finetuning_gpu_amount,finetuning_gpu_ptp_gflops,finetuning_tpu_model,finetuning_tpu_amount,finetuning_tpu_ptp_gflops,finetuning_cpu_model,finetuning_cpu_amount,finetuning_cpu_ptp_gflops,network_operations,hardware_burden,comments,(F1 score)
Cross-sentence context (First),2020,,Exploring Cross-sentence Contexts for Named Entity Recognition with BERT,/paper/exploring-cross-sentence-contexts-for-named,https://arxiv.org/abs/2006.01563v2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.74
CNN Large,2019,3.30E+08,Cloze-driven Pretraining of Self-attention Networks,/paper/cloze-driven-pretraining-of-self-attention,https://www.aclweb.org/anthology/D19-1539/,,,3,25,,,10 days,8.64E+05,,Tesla V100 PCIe 32 GB,128,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56E+21,,93.50
Biaffine-NER,2020,,Named Entity Recognition as Dependency Parsing,/paper/named-entity-recognition-as-dependency,https://www.aclweb.org/anthology/2020.acl-main.577,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.50
I-DARTS + Flair,2019,,Improved Differentiable Architecture Search for Language Modeling and Named Entity Recognition,/paper/improved-differentiable-architecture-search,https://www.aclweb.org/anthology/D19-1367/,,,3,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.47
GCDT + BERT-L,2019,7.40E+06,GCDT: A Global Context Enhanced Deep Transition Architecture for Sequence Labeling,/paper/gcdt-a-global-context-enhanced-deep,https://www.aclweb.org/anthology/P19-1233/,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.47
CrossWeigh + Pooled Flair,2019,,CrossWeigh: Training Named Entity Tagger from Imperfect Annotations,/paper/crossweigh-training-named-entity-tagger-from,https://www.aclweb.org/anthology/D19-1519/,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.43
LSTM-CRF+ELMo+BERT+Flair,2019,,Neural Architectures for Nested NER through Linearization,/paper/neural-architectures-for-nested-ner-through-1,https://www.aclweb.org/anthology/P19-1527/,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.38
Hierarchical + BERT,2019,,Hierarchical Contextualized Representation for Named Entity Recognition,/paper/hierarchical-contextualized-representation,https://arxiv.org/abs/1911.02257v2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.37
BERT-MRC+DSC,2019,,Dice Loss for Data-imbalanced NLP Tasks,/paper/dice-loss-for-data-imbalanced-nlp-tasks,https://www.aclweb.org/anthology/2020.acl-main.45,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.33
BARTNER,2021,,A Unified Generative Framework for Various NER Subtasks,/paper/a-unified-generative-framework-for-various,https://arxiv.org/abs/2106.01223v1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.24
Flair embeddings,2018,,Contextual String Embeddings for Sequence Labeling,/paper/contextual-string-embeddings-for-sequence,https://www.aclweb.org/anthology/C18-1139/,,,3,,,,1 week,6.05E+05,,GeForce GTX Titan X,1,1.10E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.64E+18,,93.09
BERT-MRC,2019,,A Unified MRC Framework for Named Entity Recognition,/paper/a-unified-mrc-framework-for-named-entity,https://arxiv.org/pdf/1910.11476v6.pdf,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.04
Locate and Label,2021,,Locate and Label: A Two-stage Identifier for Nested Named Entity Recognition,/paper/locate-and-label-a-two-stage-identifier-for,https://arxiv.org/abs/2105.06804v2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.94
BERT Large,2019,3.40E+08,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,/paper/bert-pre-training-of-deep-bidirectional,https://www.aclweb.org/anthology/N19-1423/,,,3,,,,,,,,,,,,,,,,40,,,4 days,3.46E+05,,,,,Cloud TPU v3,16,4.20E+05,,,,,,,,,,,,,,,,,,,,2.32E+21,,92.80
HSCRF + softdict,2019,,Towards Improving Neural Named Entity Recognition with Gazetteers,/paper/towards-improving-neural-named-entity,https://www.aclweb.org/anthology/P19-1524/,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.75
TENER,2019,,TENER: Adapting Transformer Encoder for Named Entity Recognition,/paper/tener-adapting-transformer-encoder-for-name,https://arxiv.org/abs/1911.04474v3,,,3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.62
CVT + Multi-Task + Large,2018,,Semi-Supervised Sequence Modeling with Cross-View Training,/paper/semi-supervised-sequence-modeling-with-cross,https://www.aclweb.org/anthology/D18-1217/,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.61
Stack LSTM,2019,,Joint Learning of Named Entity Recognition and Entity Linking,/paper/joint-learning-of-named-entity-recognition,https://www.aclweb.org/anthology/P19-2026/,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.43
DGLSTM-CRF + ELMo (L=2),2019,,Dependency-Guided LSTM-CRF for Named Entity Recognition,/paper/190910148,https://www.aclweb.org/anthology/D19-1399/,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.40
GRN,2019,,GRN: Gated Relation Network to Enhance Convolutional Neural Network for Named Entity Recognition,/paper/grn-gated-relation-network-to-enhance,https://arxiv.org/abs/1907.05611v2,,,3,200,,,,,,Tesla P100 PCIe 16 GB,1,9.53E+03,,,,Intel Xeon E5-2690 v4,2,1.16E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.34
Neural-CRF+AE,2018,,Evaluating the Utility of Hand-crafted Features in Sequence Labelling,/paper/evaluating-the-utility-of-hand-crafted,https://arxiv.org/pdf/1808.09075v1,,,3,40,,,8 hrs,2.88E+04,,GeForce GTX Titan X,1,1.10E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16E+17,,92.29
MGNER,2019,,Multi-Grained Named Entity Recognition,/paper/multi-grained-named-entity-recognition,https://www.aclweb.org/anthology/P19-1138/,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.28
BiLSTM-CRF+ELMo,2018,,Deep contextualized word representations,/paper/deep-contextualized-word-representations,https://arxiv.org/pdf/1802.05365v2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.22
DELTA (NER ELMO),2019,,DELTA: A DEep learning based Language Technology plAtform,/paper/delta-a-deep-learning-based-language,https://arxiv.org/abs/1908.01853v1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.20
SpanRel,2019,,Generalizing Natural Language Analysis through Span-relation Representations,/paper/generalizing-natural-language-analysis-1,https://arxiv.org/pdf/1911.03822v2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.20
LD-Net,2018,,Efficient Contextualized Representation: Language Model Pruning for Sequence Labeling,/paper/efficient-contextualized-representation,https://arxiv.org/pdf/1804.07827v2,5.10E+07,,3,,,,,,,GeForce GTX 1080,1,8.87E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.03
TagLM,2017,,Semi-supervised sequence tagging with bidirectional language models,/paper/semi-supervised-sequence-tagging-with,https://arxiv.org/pdf/1705.00108v1,,,3,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.93
PRISM,2019,,A Prism Module for Semantic Disentanglement in Name Entity Recognition,/paper/a-prism-module-for-semantic-disentanglement,https://www.aclweb.org/anthology/P19-1532/,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.80
GraphIE (GCN+BiLSTM),2019,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.74
Bi-LSTM-CRF + Lexical Features,2018,,Robust Lexical Features for Improved Neural Network Named-Entity Recognition,/paper/robust-lexical-features-for-improved-neural,https://arxiv.org/pdf/1806.03489v1.pdf,,,3,,,,2.5 hours,9.00E+03,,GeForce GTX Titan Xp,1,1.14E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02E+17,,91.73
LM-LSTM-CRF,2017,,Empower Sequence Labeling with Task-Aware Neural Language Model,/paper/empower-sequence-labeling-with-task-aware,https://arxiv.org/pdf/1709.04109v4.pdf,,,3,,,,6 hrs,2.16E+04,,GeForce GTX 1080,1,8.87E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92E+17,,91.71
IntNet + BiLSTM-CRF,2018,,Learning Better Internal Structure of Words for Sequence Labeling,/paper/learning-better-internal-structure-of-words,https://arxiv.org/pdf/1810.12443v1.pdf,,,3,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.64
Bi-LSTM-CNN,2016,,Named Entity Recognition with Bidirectional LSTM-CNNs,/paper/named-entity-recognition-with-bidirectional,https://arxiv.org/pdf/1511.08308v5.pdf,,,3,,,,6 hours and 12 sec,2.16E+04,,,,,,,,Intel Xeon E5-2697 v4,1,1.32E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86E+16,,91.62
Yang et al. ([2017a]),2017,,Neural Reranking for Named Entity Recognition,/paper/neural-reranking-for-named-entity-recognition,https://arxiv.org/pdf/1707.05127v1.pdf,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.62
S-LSTM,2018,,Sentence-State LSTM for Text Representation,/paper/sentence-state-lstm-for-text-representation,https://arxiv.org/pdf/1805.02474v1.pdf,,,3,,,,,,,GeForce GTX 1080,1,8.87E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.57
LSTM with dynamic skip,2018,,Long Short-Term Memory with Dynamic Skip Connections,/paper/long-short-term-memory-with-dynamic-skip,https://arxiv.org/pdf/1811.03873v1.pdf,,,3,65,,,9.98 hrs,3.59E+04,,GeForce GTX Titan X,1,1.10E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.94E+17,,91.56
Adversarial Bi-LSTM,2017,,Robust Multilingual Part-of-Speech Tagging via Adversarial Training,/paper/robust-multilingual-part-of-speech-tagging,https://arxiv.org/pdf/1711.04903v2.pdf,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.56
HSCRF,2018,,Hybrid semi-Markov CRF for Neural Sequence Labeling,/paper/hybrid-semi-markov-crf-for-neural-sequence,https://arxiv.org/pdf/1805.03838v1.pdf,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.38
IXA pipes,2017,,Robust Multilingual Named Entity Recognition with Shallow Semi-Supervised Features,/paper/robust-multilingual-named-entity-recognition,https://arxiv.org/pdf/1701.09123v1.pdf,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.36
NCRF++,2018,,NCRF++: An Open-source Neural Sequence Labeling Toolkit,/paper/ncrf-an-open-source-neural-sequence-labeling,https://arxiv.org/pdf/1806.05626v2.pdf,,,3,,,,,,,GeForce GTX 1080,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.35
Yang et al.,2017,,Transfer Learning for Sequence Tagging with Hierarchical Recurrent Networks,/paper/transfer-learning-for-sequence-tagging-with,https://arxiv.org/pdf/1703.06345v1.pdf,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.26
Bi-LSTM-CNN-CRF,2019,,A Deep Neural Network Model for the Task of Named Entity Recognition,/paper/a-deep-neural-network-model-for-the-task-of,http://www.ijmlc.org/vol9/758-ML0025.pdf,,,3,,,,3 hours,1.08E+04,,GeForce GTX 1080 Ti,1,1.13E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22E+17,,91.22
BLSTM-CNN-CRF,2016,,End-to-end Sequence Labeling via Bi-directional LSTM-CNNs-CRF,/paper/end-to-end-sequence-labeling-via-bi,https://arxiv.org/pdf/1603.01354v5.pdf,,,3,50,,,8 hrs,2.88E+04,,GeForce GTX Titan X,1,1.10E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16E+17,,91.21
Bi-LSTM + Logic rules,2016,,Harnessing Deep Neural Networks with Logic Rules,/paper/harnessing-deep-neural-networks-with-logic,https://arxiv.org/pdf/1603.06318v6.pdf,,,3,,,,,,,Tesla K40c ,1,5.05E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.18
LSTM-CRF,2016,,Neural Architectures for Named Entity Recognition,/paper/neural-architectures-for-named-entity,https://arxiv.org/pdf/1603.01360v3.pdf,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.94
SWEM-CRF,2018,,Baseline Needs More Love: On Simple Word-Embedding-Based Models and Associated Pooling Mechanisms,/paper/baseline-needs-more-love-on-simple-word,https://arxiv.org/pdf/1805.09843v1.pdf,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.28
VSL-GG-Hier,2019,,Variational Sequential Labelers for Semi-Supervised Learning,/paper/variational-sequential-labelers-for-semi-1,https://arxiv.org/pdf/1906.09535v1.pdf,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.70
