name,year,parameters,title,paper_with_code,paper_link,flops,multiadds,fp_bp_ratio,training_epochs,training_set_size,training_dataset,training_time_total,training_time_total_sec,training_time_tpu_core_days,training_gpu_model,training_gpu_amount,training_gpu_ptp_gflops,training_tpu_model,training_tpu_amount,training_tpu_ptp_gflops,training_cpu_model,training_cpu_amount,training_cpu_ptp_gflops,pretraining_epochs,pretraining_set_size,pretraining_dataset,pretraining_time_total,pretraining_time_total_sec,pretraining_time_tpu_core_days,pretraining_gpu_model,pretraining_gpu_amount,pretraining_gpu_ptp_gflops,pretraining_tpu_model,pretraining_tpu_amount,pretraining_tpu_ptp_gflops,pretraining_cpu_model,pretraining_cpu_amount,pretraining_cpu_ptp_gflops,finetuning_epochs,finetuning_set_size,finetuning_dataset,finetuning_time_total,finetuning_time_total_sec,finetuning_time_tpu_core_days,finetuning_gpu_model,finetuning_gpu_amount,finetuning_gpu_ptp_gflops,finetuning_tpu_model,finetuning_tpu_amount,finetuning_tpu_ptp_gflops,finetuning_cpu_model,finetuning_cpu_amount,finetuning_cpu_ptp_gflops,network_operations,hardware_burden,lo10net,log10hw,computing_power,comments,(BOX AP),(AP50),(AP75),(APS),(APM),(APL)
MultiPath Network,2016,,A MultiPath Network for Object Detection,/paper/a-multipath-network-for-object-detection,https://arxiv.org/abs/1604.02135v2,,,3,,118000,COCO test_dev,3 days,2.59E+05,,GeForce Titan X,4,1.10E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14E+19,,19.05606786,1.14E+19,,33.20,,,,,
Mask R-CNN (ResNeXt-101-FPN),2018,,Mask R-CNN,/paper/mask-r-cnn,http://openaccess.thecvf.com/content_iccv_2017/html/He_Mask_R-CNN_ICCV_2017_paper.html,,,3,,118000,COCO test_dev,44 hours,1.58E+05,,Tesla M40,8,6.84E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.67E+18,,18.93815517,8.67E+18,,39.80,62.3,43.4,22.1,43.2,51.2
SNIPER (ResNet-101),2018,,SNIPER: Efficient Multi-Scale Training,/paper/sniper-efficient-multi-scale-training,http://papers.nips.cc/paper/8143-sniper-efficient-multi-scale-training,,,3,,118000,COCO test_dev,14 hours,5.04E+04,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.70E+18,,18.75566269,5.70E+18,,46.10,67,51.6,29.6,48.9,58.1
Faster R-CNN (Cascade RPN),2019,,Cascade RPN: Delving into High-Quality Region Proposal Network with Adaptive Convolution,/paper/cascade-rpn-delving-into-high-quality-region,http://papers.nips.cc/paper/8423-cascade-rpn-delving-into-high-quality-region-proposal-network-with-adaptive-convolution,,,3,12,118000,COCO test_dev,12 hours,4.32E+04,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.88E+18,,18.6887159,4.88E+18,,40.60,58.9,44.5,22,42.8,52.6
"Mask R-CNN (Bottleneck-injected ResNet-50, FPN)",2021,,"torchdistill: A Modular, Configuration-Driven Framework for Knowledge Distillation",/paper/torchdistill-a-modular-configuration-driven,https://arxiv.org/abs/2011.12913v2,,,3,20,118000,COCO test_dev,24 hours 21 min,8.77E+04,,GeForce RTX 2080 Ti,3,1.34E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54E+18,,18.54854813,3.54E+18,,36.90,,,,,
Faster R-CNN + FPN,2017,,Feature Pyramid Networks for Object Detection,/paper/feature-pyramid-networks-for-object-detection,http://openaccess.thecvf.com/content_cvpr_2017/html/Lin_Feature_Pyramid_Networks_CVPR_2017_paper.html,,,3,,118000,COCO test_dev,10 hours,3.60E+04,,Tesla M40,8,6.84E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97E+18,,18.29470249,1.97E+18,,36.20,,,,,
"DINO (Swin-L, multi-scale)",2022,2.18E+08,DINO: DETR with Improved DeNoising Anchor Boxes for End-to-End Object Detection,/paper/dino-detr-with-improved-denoising-anchor-1,https://arxiv.org/pdf/2203.03605v1.pdf,,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.30,80.8,69.9,46.7,66,76.5
SwinV2-G (HTC++),2021,,Swin Transformer V2: Scaling Up Capacity and Resolution,/paper/swin-transformer-v2-scaling-up-capacity-and,https://arxiv.org/pdf/2111.09883v1.pdf,,,3,,118000,COCO test_dev,,,,A100 SXM4 40 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.10,,,,,
"GLIP (Swin-L, multi-scale)",2021,,Grounded Language-Image Pre-training,/paper/grounded-language-image-pre-training,https://arxiv.org/pdf/2112.03857v1.pdf,,,3,,118000,COCO test_dev,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.50,,,,,
"Soft Teacher + Swin-L (HTC++, multi-scale)",2021,,End-to-End Semi-Supervised Object Detection with Soft Teacher,/paper/end-to-end-semi-supervised-object-detection,https://arxiv.org/pdf/2106.09018v3,,,3,,118000,COCO test_dev,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.30,,,,,
"DyHead (Swin-L, multi scale, self-training)",2021,,Dynamic Head: Unifying Object Detection Heads with Attentions,/paper/dynamic-head-unifying-object-detection-heads,http://openaccess.thecvf.com//content/CVPR2021/html/Dai_Dynamic_Head_Unifying_Object_Detection_Heads_With_Attentions_CVPR_2021_paper.html,,,3,,118000,COCO test_dev,,,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.60,78.5,66.6,43.9,64,74.2
"Dual-Swin-L (HTC, multi-scale)",2021,,CBNetV2: A Composite Backbone Network Architecture for Object Detection,/paper/cbnetv2-a-composite-backbone-network,https://arxiv.org/abs/2107.00420v6,,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.10,,,,,
"Focal-L (DyHead, multi-scale)",2021,,Focal Self-attention for Local-Global Interactions in Vision Transformers,/paper/focal-self-attention-for-local-global,https://arxiv.org/abs/2107.00641v1,,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.90,,,,,
"Swin-L (HTC++, multi scale)",2021,,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows,/paper/swin-transformer-hierarchical-vision,https://arxiv.org/abs/2103.14030v1,,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.70,,,,,
"Cascade Eff-B7 NAS-FPN (1280, self-training Copy Paste, single-scale)",2020,,Simple Copy-Paste is a Strong Data Augmentation Method for Instance Segmentation,/paper/simple-copy-paste-is-a-strong-data,http://openaccess.thecvf.com//content/CVPR2021/html/Ghiasi_Simple_Copy-Paste_Is_a_Strong_Data_Augmentation_Method_for_Instance_CVPR_2021_paper.html,1.44E+12,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.30,,,,,
"SOLQ (Swin-L, single)",2021,,SOLQ: Segmenting Objects by Learning Queries,/paper/solq-segmenting-objects-by-learning-queries,https://arxiv.org/abs/2106.02351v2,,,3,,118000,COCO test_dev,,,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.50,,,,,
"CenterNet2 (Res2Net-101-DCN-BiFPN, self-training, 1560 single-scale)",2021,,Probabilistic two-stage detection,/paper/probabilistic-two-stage-detection,https://arxiv.org/abs/2103.07461v1,,,3,,118000,COCO test_dev,,,,GeForce Titan Xp,1,1.14E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.40,74,61.6,38.7,59.7,68.6
QueryInst (single-scale),2021,,Instances as Queries,/paper/queryinst-parallelly-supervised-mask-query,https://arxiv.org/abs/2105.01928v3,,,3,,118000,COCO test_dev,,,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.10,75.9,61.9,37.4,58.9,70.3
"YOLOv4-P7 (CSP-P7, multi-scale)",2020,,Scaled-YOLOv4: Scaling Cross Stage Partial Network,/paper/scaled-yolov4-scaling-cross-stage-partial,http://openaccess.thecvf.com//content/CVPR2021/html/Wang_Scaled-YOLOv4_Scaling_Cross_Stage_Partial_Network_CVPR_2021_paper.html,,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.00,73.3,61.2,38.9,60,68.6
"DetectoRS (ResNeXt-101-64x4d, multi-scale)",2020,,DetectoRS: Detecting Objects with Recursive Feature Pyramid and Switchable Atrous Convolution,/paper/detectors-detecting-objects-with-recursive-1,http://openaccess.thecvf.com//content/CVPR2021/html/Qiao_DetectoRS_Detecting_Objects_With_Recursive_Feature_Pyramid_and_Switchable_Atrous_CVPR_2021_paper.html,,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.70,74.2,61.1,37.7,58.4,68.1
"YOLOR-D6 (1280, single-scale, 30 fps)",2021,,You Only Learn One Representation: Unified Network for Multiple Tasks,/paper/you-only-learn-one-representation-unified,https://arxiv.org/pdf/2105.04206v1,9.37E+11,,3,300,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,118000,COCO test_dev,,,,,,,,,,,,,1.49E+20,,20.17395537,,6.00E+20,,55.40,,,,,
CSP-p6 + Mish (multi-scale),2019,,Mish: A Self Regularized Non-Monotonic Activation Function,/paper/mish-a-self-regularized-non-monotonic-neural,https://arxiv.org/abs/1908.08681v3,,,3,,118000,COCO test_dev,,,,GeForce RTX 2070,,7.46E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.20,72.9,60.5,37.6,59,66.9
EfficientDet-D7x (single-scale),2019,7.70E+07,EfficientDet: Scalable and Efficient Object Detection,/paper/efficientdet-scalable-and-efficient-object,http://openaccess.thecvf.com/content_CVPR_2020/html/Tan_EfficientDet_Scalable_and_Efficient_Object_Detection_CVPR_2020_paper.html,4.10E+11,,3,600,118000,COCO test_dev,,,,,,,Cloud TPU v3,16,4.20E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.71E+19,,19.93993837,,3.71E+20,,55.10,,,,57.9,
"SpineNet-190 (1280, with Self-training on OpenImages, single-scale)",2020,,Rethinking Pre-training and Self-training,/paper/rethinking-pre-training-and-self-training,http://proceedings.neurips.cc/paper/2020/hash/27e9661e033a73a6ad8cefcde965c54d-Abstract.html,1.89E+12,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.30,,,,,
"UniverseNet-20.08d (Res2Net-101, DCN, multi-scale)",2021,,USB: Universal-Scale Object Detection Benchmark,/paper/usb-universal-scale-object-detection,https://arxiv.org/abs/2103.14027v1,,,3,,118000,COCO test_dev,,,,Tesla V100 PCIe 32 GB,4,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.10,71.6,59.9,35.8,57.2,67.4
"LSNet (Res2Net-101+ DCN, multi-scale)",2021,,Location-Sensitive Visual Recognition with Cross-IOU Loss,/paper/location-sensitive-visual-recognition-with,https://arxiv.org/abs/2104.04899v1,,,3,,118000,COCO test_dev,,,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.50,71.1,59.2,35.2,56.4,65.8
"PAA (ResNext-152-32x8d + DCN, multi-scale)",2020,,Probabilistic Anchor Assignment with IoU Prediction for Object Detection,/paper/probabilistic-anchor-assignment-with-iou,https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/5041_ECCV_2020_paper.php,,,3,,118000,COCO test_dev,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.50,71.6,59.1,36,56.3,66.9
"Cascade Mask R-CNN (Triple-ResNeXt152, multi-scale)",2019,,CBNet: A Novel Composite Backbone Network Architecture for Object Detection,/paper/cbnet-a-novel-composite-backbone-network,https://arxiv.org/abs/1909.03625v1,,,3,,118000,COCO test_dev,,,,GeForce Titan X,4,1.10E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.30,71.9,58.5,35.5,55.8,66.7
"GFLV2 (Res2Net-101, DCN, multiscale)",2020,,Generalized Focal Loss V2: Learning Reliable Localization Quality Estimation for Dense Object Detection,/paper/generalized-focal-loss-v2-learning-reliable,http://openaccess.thecvf.com//content/CVPR2021/html/Li_Generalized_Focal_Loss_V2_Learning_Reliable_Localization_Quality_Estimation_for_CVPR_2021_paper.html,,,3,,118000,COCO test_dev,,,,GeForce RTX 2080 Ti,8,1.34E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.30,70.9,59.2,35.7,56.1,65.6
ResNeSt-200 (multi-scale),2020,,ResNeSt: Split-Attention Networks,/paper/resnest-split-attention-networks,https://arxiv.org/abs/2004.08955v2,,,3,,118000,COCO test_dev,,,,Tesla V100 PCIe 32 GB,64,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.30,72,58,35.1,56.2,66.8
RelationNet++ (ResNeXt-64x4d-101-DCN),2020,,RelationNet++: Bridging Visual Representations for Object Detection via Transformer Decoder,/paper/relationnet-bridging-visual-representations,http://proceedings.neurips.cc/paper/2020/hash/9d684c589d67031a627ad33d59db65e5-Abstract.html,,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.70,,,,,
Deformable DETR (ResNeXt-101+DCN),2020,,Deformable DETR: Deformable Transformers for End-to-End Object Detection,/paper/deformable-detr-deformable-transformers-for-1,https://openreview.net/forum?id=gZ9hCDWe6ke,,,3,,118000,COCO test_dev,,,,Tesla V100 PCIe 32 GB,,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.30,71.9,58.1,34.4,54.4,65.6
GCNet (ResNeXt-101 + DCN + cascade + GC r4),2020,,Global Context Networks,/paper/global-context-networks,https://arxiv.org/abs/2012.13375v1,1.04E+12,,3,,118000,COCO test_dev,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.30,70.9,56.9,,,
"RepPoints v2 (ResNeXt-101, DCN, multi-scale)",2020,,RepPoints V2: Verification Meets Regression for Object Detection,/paper/reppoints-v2-verification-meets-regression,http://proceedings.neurips.cc/paper/2020/hash/3ce3bd7d63a2c9c81983cc8e9bd02ae5-Abstract.html,,,3,,118000,COCO test_dev,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.10,70.1,57.5,34.5,54.6,63.6
"RetinaNet (SpineNet-190, 1280x1280)",2019,1.64E+08,SpineNet: Learning Scale-Permuted Backbone for Recognition and Localization,/paper/spinenet-learning-scale-permuted-backbone-for,http://openaccess.thecvf.com/content_CVPR_2020/html/Du_SpineNet_Learning_Scale-Permuted_Backbone_for_Recognition_and_Localization_CVPR_2020_paper.html,1.89E+12,,3,500,118000,COCO test_dev,,,,Tesla V100 PCIe 32 GB,1,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.34E+20,,20.52328462,,1.23E+21,,52.10,71.8,56.5,35.4,55,63.6
"OTA (ResNeXt-101+DCN, multiscale)",2021,,OTA: Optimal Transport Assignment for Object Detection,/paper/ota-optimal-transport-assignment-for-object,http://openaccess.thecvf.com//content/CVPR2021/html/Ge_OTA_Optimal_Transport_Assignment_for_Object_Detection_CVPR_2021_paper.html,,,3,,118000,COCO test_dev,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.50,68.6,57.1,34.1,53.7,64.1
"TSD(SENet154-DCN,multi-scale)",2020,,Revisiting the Sibling Head in Object Detector,/paper/revisiting-the-sibling-head-in-object,http://openaccess.thecvf.com/content_CVPR_2020/html/Song_Revisiting_the_Sibling_Head_in_Object_Detector_CVPR_2020_paper.html,,,3,,118000,COCO test_dev,,,,Tesla V100 PCIe 32 GB,16,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.20,71.9,56,33.8,54.8,64.2
YOLOX-X (Modified CSP v5),2021,9.91E+07,YOLOX: Exceeding YOLO Series in 2021,/paper/yolox-exceeding-yolo-series-in-2021,https://arxiv.org/abs/2107.08430v1,2.82E+11,,3,300,118000,COCO test_dev,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99E+19,,19.47621959,,1.43E+20,,51.20,69.6,55.7,31.2,56.1,66.1
Cascade R-CNN (ResNeXt-152),2019,,Cascade R-CNN: High Quality Object Detection and Instance Segmentation,/paper/cascade-r-cnn-high-quality-object-detection,https://arxiv.org/abs/1906.09756v1,,,3,,118000,COCO test_dev,,,,GeForce Titan Xp,,1.14E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.90,62.1,46.3,23.7,45.5,55.2
"ATSS (ResNetXt-64x4d-101+DCN,multi-scale)",2019,,Bridging the Gap Between Anchor-based and Anchor-free Detection via Adaptive Training Sample Selection,/paper/bridging-the-gap-between-anchor-based-and,http://openaccess.thecvf.com/content_CVPR_2020/html/Zhang_Bridging_the_Gap_Between_Anchor-Based_and_Anchor-Free_Detection_via_Adaptive_CVPR_2020_paper.html,,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.70,68.9,56.3,33.2,52.9,62.4
"NAS-FPN (AmoebaNet-D, learned aug)",2019,,Learning Data Augmentation Strategies for Object Detection,/paper/learning-data-augmentation-strategies-for,https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/5865_ECCV_2020_paper.php,,,3,,118000,COCO test_dev,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.70,,,34.2,55.5,64.5
"aLRP Loss (ResNext-101-64x4d, DCN, multiscale test)",2020,,"A Ranking-based, Balanced Loss Function Unifying Classification and Localisation in Object Detection",/paper/a-ranking-based-balanced-loss-function,http://proceedings.neurips.cc/paper/2020/hash/b2eeb7362ef83deff5c7813a67e14f0a-Abstract.html,,,3,,118000,COCO test_dev,,,,Tesla V100 PCIe 32 GB,4,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.20,70.3,53.9,32,53.1,63
"D2Det (ResNet-101-DCN, multi-scale test)",2020,,D2Det: Towards High Quality Object Detection and Instance Segmentation,/paper/d2det-towards-high-quality-object-detection,http://openaccess.thecvf.com/content_CVPR_2020/html/Cao_D2Det_Towards_High_Quality_Object_Detection_and_Instance_Segmentation_CVPR_2020_paper.html,,,3,,118000,COCO test_dev,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.10,69.4,54.9,32.7,52.7,62.1
"Dynamic R-CNN (ResNet-101-DCN, multi-scale)",2020,,Dynamic R-CNN: Towards High Quality Object Detection via Dynamic Training,/paper/dynamic-r-cnn-towards-high-quality-object,https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/2335_ECCV_2020_paper.php,,,3,,118000,COCO test_dev,,,,GeForce RTX 2080 Ti,,1.34E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.10,68.3,55.6,32.8,53,61.2
"FreeAnchor + SEPC (DCN, ResNext-101-64x4d)",2020,,Scale-Equalizing Pyramid Convolution for Object Detection,/paper/scale-equalizing-pyramid-convolution-for,http://openaccess.thecvf.com/content_CVPR_2020/html/Wang_Scale-Equalizing_Pyramid_Convolution_for_Object_Detection_CVPR_2020_paper.html,,,3,,118000,COCO test_dev,,,,GeForce Titan Xp,8,1.14E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.10,69.8,54.3,31.3,53.3,63.7
GCNet (ResNeXt-101 + DCN + cascade + GC r4),2019,,GCNet: Non-local Networks Meet Squeeze-Excitation Networks and Beyond,/paper/gcnet-non-local-networks-meet-squeeze,https://arxiv.org/abs/1904.11492v1,5.48E+11,,3,,118000,COCO test_dev,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.40,67.6,52.7,,,
"TridentNet (ResNet-101-Deformable, Image Pyramid)",2019,,Scale-Aware Trident Networks for Object Detection,/paper/scale-aware-trident-networks-for-object,http://openaccess.thecvf.com/content_ICCV_2019/html/Li_Scale-Aware_Trident_Networks_for_Object_Detection_ICCV_2019_paper.html,,,3,,118000,COCO test_dev,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.40,69.7,53.5,31.8,51.3,60.3
"D-RFCN + SNIP (ensemble, multi-scale)",2017,,An Analysis of Scale Invariance in Object Detection - SNIP,/paper/an-analysis-of-scale-invariance-in-object-1,https://arxiv.org/abs/1711.08189v2,,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.30,65.5,48.4,27.2,46.5,54.9
"GFL (X-101-32x4d-DCN, single-scale)",2020,,Generalized Focal Loss: Learning Qualified and Distributed Bounding Boxes for Dense Object Detection,/paper/generalized-focal-loss-learning-qualified-and,http://proceedings.neurips.cc/paper/2020/hash/f0bda020d2470f2e74990a07a607ebd9-Abstract.html,,,3,,118000,COCO test_dev,,,,GeForce RTX 2080 Ti,1,1.34E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.20,67.4,52.6,29.2,51.7,60.2
